Date,Active Calories,Resting Calories,Total
23/10/2023,91,2080,2171
24/10/2023,178,2080,2258
25/10/2023,386,2080,2466
26/10/2023,573,2080,2653
27/10/2023,514,2080,2594
28/10/2023,32,2080,2112
29/10/2023,370,2080,2450
30/10/2023,728,2080,2808
31/10/2023,448,2080,2528
01/11/2023,147,2080,2227
02/11/2023,230,2080,2310
03/11/2023,264,2080,2344
04/11/2023,841,2080,2921
05/11/2023,182,2080,2262
06/11/2023,111,2080,2191
07/11/2023,9,2080,2089
08/11/2023,0,2080,2080
09/11/2023,1145,2080,3225
10/11/2023,327,2080,2407
11/11/2023,85,2080,2165
12/11/2023,293,2080,2373
13/11/2023,345,2080,2425
14/11/2023,457,2080,2537
15/11/2023,1111,2080,3191
16/11/2023,145,2080,2225
17/11/2023,722,1919,2641
18/11/2023,1205,2080,3285
19/11/2023,251,2080,2331
20/11/2023,468,2080,2548
21/11/2023,122,2080,2202
22/11/2023,699,2080,2779
23/11/2023,231,2080,2311
24/11/2023,589,2080,2669
25/11/2023,765,2080,2845
26/11/2023,123,2080,2203
27/11/2023,286,2080,2366
28/11/2023,145,2080,2225
29/11/2023,853,2080,2933
30/11/2023,54,2080,2134
01/12/2023,287,2080,2367
02/12/2023,12,2080,2092
03/12/2023,571,2080,2651
04/12/2023,140,2080,2220
05/12/2023,189,2080,2269
06/12/2023,1926,2080,4006
07/12/2023,177,2080,2257
08/12/2023,176,2080,2256
09/12/2023,470,2080,2550
10/12/2023,620,2080,2700
11/12/2023,265,2080,2345
12/12/2023,175,2080,2255
13/12/2023,1320,2080,3400
14/12/2023,325,2080,2405
15/12/2023,224,2080,2304
16/12/2023,269,2080,2349
17/12/2023,373,2080,2453
18/12/2023,836,2080,2916
19/12/2023,244,2080,2324
20/12/2023,207,2080,2287
21/12/2023,304,2080,2384
22/12/2023,525,2080,2605
23/12/2023,106,2080,2186
24/12/2023,151,2080,2231
25/12/2023,822,2080,2902
26/12/2023,110,2080,2190
27/12/2023,352,2080,2432
28/12/2023,107,2080,2187
29/12/2023,149,2080,2229
30/12/2023,131,2080,2211
31/12/2023,183,2080,2263
01/01/2024,414,2080,2494
02/01/2024,282,2246,2528
03/01/2024,789,2074,2863
04/01/2024,68,2074,2142
05/01/2024,140,2074,2214
06/01/2024,677,2074,2751
07/01/2024,191,2074,2265
08/01/2024,769,1832,2601
